Circuit.ieee13pv {4BE6DD69-8FE9-4C9F-AD44-B327D5623974}
LinePhase=632645_C=1 {6EE54DFA-5D00-4ED1-B37C-13A2658209A1}
LinePhase=632645_B=1 {CA26346E-032D-4A2A-B04A-18C7CB49A72C}
50=632645=1 {A60424C0-F9A9-4FA6-A350-8CEE9C4C0138}
OpLimI=OpLimI_230.0_600.0=0 {61135AD5-1E6F-4594-8735-F5BE0BD04D3D}
50=632645=2 {F44FFEF9-24B2-48DF-80AD-C1FA7DC86368}
PosPt=Line.632645=1 {F4EFDBAF-E9F0-4D3F-B4D7-1ADA36688579}
PosPt=Line.632645=2 {A6A093ED-6893-47E2-AFFC-018A2460C3B3}
LineLoc=645646=1 {1345FA97-1CDD-4647-8842-42028F832761}
LinePhase=645646_C=1 {55A46C3C-38C4-46D7-AF6E-1FAFB2BB9509}
LinePhase=645646_B=1 {ECEA1A35-145A-42B5-8EDC-1EFA0A8985F2}
50=645646=1 {354EBDA2-A266-4A3E-892C-589E484E669F}
50=645646=2 {666B21EF-FC86-4E81-A4CF-7A0ED2B37CEF}
PosPt=Line.645646=1 {96D9C7B4-73CB-452C-8B2E-F6216C42106E}
PosPt=Line.645646=2 {D7122074-4D0E-4582-9949-68AC3DD94A2E}
LineLoc=692675=1 {19A6B75B-4271-4BF2-9630-926054894725}
LinePhase=692675_A=1 {C3129C05-83FF-44BA-BDDE-82F9CBD385C7}
LinePhase=692675_B=1 {126DF596-E75B-45FD-A847-44786880A7EA}
LinePhase=692675_C=1 {BAEBF0E9-26BB-4B7E-ADBD-B633D9EAB429}
50=692675=1 {6142F8D4-1DA7-4D10-BEDC-1D0298BF1E6E}
OpLimI=OpLimI_260.0_600.0=0 {B4B13146-AFB8-4AAD-A65B-7B2128B54F09}
50=692675=2 {1A67B3C2-A0CF-4713-BE42-CB00C7D22C35}
PosPt=Line.692675=1 {B2095835-B7C1-4821-B335-C0FE2AF58179}
PosPt=Line.692675=2 {0410E900-1C9E-4444-8BD0-B58EEB1D15EC}
LineLoc=671684=1 {AD45AB83-2028-4C5A-8CAF-FFDEC831EF07}
LinePhase=671684_A=1 {4F110296-DED8-4C66-8999-3DCE47D6A134}
LinePhase=671684_C=1 {57256A54-886A-449C-A41A-E8A2152B4C19}
50=671684=1 {DA7C26AD-1158-4CB1-9AA5-C623AD6FA6BF}
50=671684=2 {79265349-4C71-4CDA-BB07-2D37C1EA9ECE}
PosPt=Line.671684=1 {A4021D23-ABC9-4C23-BC2D-D14A489B127E}
PosPt=Line.671684=2 {4E6CACB6-1C44-4ED3-AD21-54B34363AE43}
LineLoc=684611=1 {BA6A7020-1220-4915-AE53-FB0B0893CC25}
LinePhase=684611_C=1 {F4942C00-130C-4373-AAE7-307688DBCA1C}
50=684611=1 {3B240D43-B424-41EF-AFC8-C0B2641954BC}
50=684611=2 {F29BF08D-06E5-4FE0-87E6-1BA149859177}
PosPt=Line.684611=1 {DF62B866-7942-4A0C-B785-CFC4E73821D2}
PosPt=Line.684611=2 {935BB017-9B34-42E1-950F-F00A996DAFAB}
LineLoc=684652=1 {FBAC2458-F3A4-4770-BE2F-0C67869E8C63}
LinePhase=684652_A=1 {AED243DA-C5BB-4D47-AB07-46F0505BEAE8}
50=684652=1 {DA977773-1E48-4DF0-A955-7B3F02C2DBE6}
OpLimI=OpLimI_165.0_600.0=0 {834B9085-BAA3-43D8-9082-0A4B6B111FC9}
50=684652=2 {094A2B83-1612-4163-A89A-8889DD43D6B2}
PosPt=Line.684652=1 {2EC8CD65-3D1F-4A26-85DD-2765F8E3922C}
PosPt=Line.684652=2 {61DC6186-03CD-432E-8787-057E9C249899}
LineLoc=671692=1 {32EA2A63-1278-401E-9A1B-470E01B445C8}
50=671692=1 {D9254808-A203-43F6-A141-5FD9383D41F8}
OpLimI=OpLimI_400.0_600.0=0 {395A8182-09C0-4B37-99FA-4EAAC6831586}
50=671692=2 {61703895-F22E-48B4-BA85-18AF590BB52B}
PosPt=Line.671692=1 {DC79F755-A093-4E21-8F25-21A195031B7C}
PosPt=Line.671692=2 {DA39F3B4-887D-4B5B-BF5C-2AB104E4CC3D}
LineLoc=brkr1=1 {7011AAA6-B8AF-4A30-A34D-1A8A36A16658}
50=brkr1=1 {E186A386-A521-4400-A4AC-40B56FAED50D}
50=brkr1=2 {A88466C7-1009-4F4B-B55A-BF8A71A14C46}
PosPt=Line.brkr1=1 {53101384-E376-495A-B867-303573E04172}
PosPt=Line.brkr1=2 {DAAC34C8-F2EA-47E5-B327-06F0816B8C6C}
LineLoc=fuse1=1 {6C081BBE-DDAA-4EE2-8EE8-BC13E0B815EF}
50=fuse1=1 {8672AFC8-6176-45C8-8595-ECB788A93536}
50=fuse1=2 {7FDF8E28-15A6-4798-8B97-B2C74230C4BB}
PosPt=Line.fuse1=1 {2FBCAFCF-C8D3-41C3-9521-26E9C335370A}
PosPt=Line.fuse1=2 {3357CE1F-D8E5-48B8-8A36-88D71E3EC34A}
LineLoc=rec1=1 {BDC493F9-E152-422F-8EE4-220771A5D990}
50=rec1=1 {2015EA8D-1974-4149-B0B1-788907501E72}
50=rec1=2 {AFA8B667-6A9B-42EA-A8A2-027F2A440384}
PosPt=Line.rec1=1 {09B4781C-FCF1-4E52-AA70-96CB907C1005}
PosPt=Line.rec1=2 {FAEF347A-7007-4D5F-B418-891FC4AB0197}
LineLoc=sect1=1 {0FFCD70B-9B0E-4E4F-A001-68760989E90B}
LinePhase=sect1_C=1 {F3CCCF30-066D-4B11-9D5F-05C72395064C}
50=sect1=1 {2F9C054B-C071-4ACA-832B-F3CC5E90A457}
50=sect1=2 {E92AC6D8-479D-41FA-85B0-9456102D070E}
PosPt=Line.sect1=1 {107934E6-A4C3-43F9-A43A-F28AFE810645}
PosPt=Line.sect1=2 {5F89D83D-51BB-45E0-9E9A-F0D30A9726C8}
LoadResp=ConstkVA=1 {0232250A-4432-4E6A-82EC-74FC4FA7D8F1}
LoadResp=ConstZ=1 {B547BCE1-9544-4EFB-8A67-E5552E8ADE82}
LoadResp=ConstPQuadQ=1 {21FD42B2-6E32-4518-ADEB-8B43973188EA}
LoadResp=LinPQuadQ=1 {E9146F9B-7F3C-4C60-ACEF-3A9735D6220E}
LoadResp=ConstI=1 {4C120F91-FF86-4786-ADA4-7EDBCDD8F316}
LoadResp=ConstQ=1 {4208AD83-6691-4155-A89F-888DCA484D58}
LoadResp=ConstX=1 {A2D2E92F-B32A-4D1A-846F-592B040EF3D5}
LoadLoc=671=1 {49532BAE-602F-4EFC-BC4D-27BA0C724E48}
59=671=1 {1C429326-C939-4C18-9071-078546376A3D}
PosPt=Load.671=1 {DCC24264-B695-4277-87C3-BE9658F584E6}
LoadLoc=634a=1 {54BCFE89-DA3D-45B7-89FA-51867CAB5E58}
LoadPhase=634a_A=1 {6B1C4E1B-364C-4E47-A2AF-AE37B4C8A499}
59=634a=1 {FEED315D-3E96-4DD7-ACEF-4CB229C1896C}
PosPt=Load.634a=1 {692D12BE-14CF-4A95-B60C-BC6DCC4BEB94}
LoadLoc=634b=1 {BBC98117-CDC2-4C87-BD23-525619E4FBDD}
LoadPhase=634b_B=1 {2E6323C1-69A5-4428-965C-40CD5BB48486}
59=634b=1 {91088FC0-7299-4ACF-B8A6-395BD1334B2E}
PosPt=Load.634b=1 {BE0FD2FF-D1A2-45FC-909B-CA679BA65C6A}
LoadLoc=634c=1 {CF9C4122-2A4C-4FAB-93B1-642045666D85}
LoadPhase=634c_C=1 {FDC28B1E-E878-441D-B7B9-88BEE22472A4}
59=634c=1 {94C85C29-4B4C-472B-B4B0-7B6BC95030AB}
PosPt=Load.634c=1 {5FE06B01-FE42-4314-8EE1-CEECBB01895D}
LoadLoc=645=1 {123FC250-9587-46CE-8AE6-21192B3B56D8}
LoadPhase=645_B=1 {9450B4C7-51E2-44B7-8ED9-E89704D965AF}
59=645=1 {60F1A83B-4358-4344-B5F3-33C169C8198F}
PosPt=Load.645=1 {74285925-BCC8-454D-A27C-415C4175326F}
LoadLoc=646=1 {C5C6850A-1BB4-424F-8A5E-4E8A78F1B103}
LoadPhase=646_B=1 {FCA23C85-1753-41AB-8600-5328715B507B}
59=646=1 {CEBDA7DB-BED7-4A20-A2DD-BD868FCCF1E4}
PosPt=Load.646=1 {B81E7304-2B8C-4A4E-9B01-A3B948142170}
LoadLoc=692=1 {4C21AE3D-6CC0-4CE2-9419-1585B8F7CDFC}
LoadPhase=692_C=1 {3F7362D9-A2AF-4A17-8512-6EC52B641B50}
59=692=1 {1EC6FBFC-4773-4B6E-A3C7-6EBFBB94F474}
PosPt=Load.692=1 {08C067ED-1755-4FD2-8835-5DE108909721}
LoadLoc=675a=1 {42852A61-FB10-4A3F-89A1-E1308F9C94A9}
LoadPhase=675a_A=1 {C5073BF7-070F-4A32-89D5-71E32C1EFAF9}
59=675a=1 {B2490E8C-0E57-41A2-BBF7-F652C958A411}
PosPt=Load.675a=1 {6864F6F1-D7CE-48E2-A7D6-FD9BD319EE98}
LoadLoc=675b=1 {C9AF127D-E395-4F86-8F73-734582F8156D}
LoadPhase=675b_B=1 {EFC6D69E-0916-4B15-B5C9-1B5FF61EF434}
59=675b=1 {2E4ED573-7AC4-480B-8BA8-51A7B8CB1E96}
PosPt=Load.675b=1 {7FE44847-8D6E-48B3-B98D-A867C8321EAD}
LoadLoc=675c=1 {1BF0726E-61CA-40E0-BB3F-D9916E3F2AE7}
LoadPhase=675c_C=1 {95BE548B-F7D7-4510-B982-72CEA0930E69}
59=675c=1 {F4D1A99E-FB36-4E14-B7EE-567BA6571051}
PosPt=Load.675c=1 {D4505F90-D9B4-4C88-8C5C-A378D594AA0C}
LoadLoc=611=1 {25097482-378E-4D9B-903D-765C8AEC438F}
LoadPhase=611_C=1 {42536234-8C31-4205-853E-9DE1F1BB8D63}
59=611=1 {27B513FE-88E8-4C67-BBE6-1253D6208616}
PosPt=Load.611=1 {8F9604B6-891F-4784-9A4F-E8BC3D4E0F97}
LoadLoc=652=1 {4FE464D0-FD15-497D-8647-5D19D8541B78}
LoadPhase=652_A=1 {CC0E8674-F146-4509-BD05-63F8CF269B97}
59=652=1 {D0C399A5-200D-4C15-B268-1BB4CF422EEE}
PosPt=Load.652=1 {D860BA6C-EA0F-4D15-8B19-771CB70FA05F}
LoadLoc=670a=1 {7E67EDA0-DC23-4242-9805-6F79761525DC}
LoadPhase=670a_A=1 {3DA96F82-D31C-4D9C-8852-85DA47AA0904}
59=670a=1 {1D4F4746-F61E-43E9-BFDE-AD7B847DF971}
PosPt=Load.670a=1 {40A5C9D1-5CCC-4766-8CD2-150794C42393}
LoadLoc=670b=1 {59C26403-D9BB-4069-B9A2-98437FD8FE5A}
LoadPhase=670b_B=1 {EF1B753A-5B18-4455-B228-49B35AA944E9}
59=670b=1 {07F632D3-1EE2-4308-8F16-9D1548B8257C}
PosPt=Load.670b=1 {13BBD258-3429-4A50-AAC4-1D06CC628327}
LoadLoc=670c=1 {5C08EB99-4202-4AB6-92F1-F5BEDAA51D36}
LoadPhase=670c_C=1 {128A7021-99F2-4365-9A6D-27E669ED700E}
59=670c=1 {13E0429C-D9C9-4AD4-B7BD-9402D8CC086C}
PosPt=Load.670c=1 {D867469D-65DA-4529-81C3-7BB603820AD9}
LoadLoc=house=1 {8B1CF60F-C95A-43DB-8829-765A579442EC}
LoadPhase=house_s1=1 {A7C2DF84-2275-47A9-AF5E-FFB6FD24CBA3}
LoadPhase=house_s2=1 {8F2ADBCC-9791-492B-B423-10E9604E1309}
59=house=1 {50516FAB-1F82-493D-A9F3-0F9276BC754B}
PosPt=Load.house=1 {C043D9DE-8358-4470-8CDB-C21F5C843FE5}
ZData=mtx601=1 {FCAF1580-6CE4-4073-BC86-219E7D857C33}
ZData=mtx601=2 {DE0AF99C-7109-4E6E-B7DA-5F5A8C822CC4}
ZData=mtx601=3 {3A103696-29E5-4B93-AC4A-003236119924}
ZData=mtx601=4 {147B0758-C057-4920-9F97-A01ACCA95FE8}
ZData=mtx601=5 {492B69DD-DE24-4F63-AAD3-E72C48DAF362}
ZData=mtx601=6 {7D3AE2F2-4218-46E7-96E6-4DD56FEA962A}
ZData=mtx602=1 {4F85B89E-D151-4675-A4A6-0A3EC32B55C4}
ZData=mtx602=2 {255A35C5-3D4B-40E2-B3F8-7E380EB42B40}
ZData=mtx602=3 {FE5FFBFA-9F32-46A5-BED4-E3DB45B8BFF6}
ZData=mtx602=4 {F9962C5C-2368-4CAC-A88F-851D7B0B02AD}
ZData=mtx602=5 {515376E6-4917-4B59-9CEC-7FBACA0CAFC7}
ZData=mtx602=6 {D6E0A70C-45F3-4EB7-A372-3333A80C3EA7}
ZData=mtx603=1 {9D1BC60F-5491-47C5-8489-A7FD6800DFBD}
ZData=mtx603=2 {4E76B63E-84F8-4177-8945-4E7BA9B3E59C}
ZData=mtx603=3 {883BDFFC-171E-4A2B-B603-7A994278E626}
ZData=mtx604=1 {0BFE376B-DACF-46B3-8CF4-E9FFEF4DDFFF}
ZData=mtx604=2 {DB0F1B88-636A-4378-9DEF-F764EC8F1526}
ZData=mtx604=3 {03AE26C7-D697-405D-AEA0-3ED713B76AF8}
ZData=mtx605=1 {7B690D8B-AC9F-49AF-840B-FCD04DF4D61F}
ZData=mtx606=1 {96836B48-BEF8-4EA5-92CB-07A0CED1A153}
ZData=mtx606=2 {CB0E2D83-2C74-489F-A464-B23DCA95DC99}
ZData=mtx606=3 {F400EAFF-6716-43FF-94BD-468572CD4C30}
ZData=mtx606=4 {95709394-E067-4388-A974-B5484656AAC2}
ZData=mtx606=5 {21631508-4AC6-4848-A02F-A2784B0D7BA9}
ZData=mtx606=6 {16CBB337-ED9F-48FD-8A5B-CD893871B481}
ZData=mtx607=1 {F488244E-9750-4B4F-8B25-C5EF5A7D2BFC}
NormAmps=OpLimI_112.4_149.9=1 {25FECE94-C6EA-485A-92A7-FDE88862F35F}
EmergAmps=OpLimI_112.4_149.9=1 {3C4D642A-08BC-4A21-8FA4-E2F4CDEC5D04}
NormAmps=OpLimI_56.3_75.0=1 {9AF976BB-A58E-493E-8E7A-AA954DE1BE21}
EmergAmps=OpLimI_56.3_75.0=1 {0F5F6C2B-B4F4-4F50-BFAA-5940ACBD90B2}
NormAmps=OpLimI_27.6_37.7=1 {1371A896-E80D-44E0-B687-4BD0E8F07641}
EmergAmps=OpLimI_27.6_37.7=1 {60CE8E33-F341-4B73-9AC5-DFC6CE4E32F6}
NormAmps=OpLimI_763.6_1041.3=1 {3307A4E6-4FE0-4978-A69F-714E5891115D}
EmergAmps=OpLimI_763.6_1041.3=1 {52DF2B5A-8946-48B8-94C3-5060EFF87DD1}
NormAmps=OpLimI_76.3_104.1=1 {A8124A5A-1E05-43D9-9356-534F8718DCD6}
EmergAmps=OpLimI_76.3_104.1=1 {A6EB44F9-6059-4FB6-84D5-84307AC25DBE}
NormAmps=OpLimI_2.3_3.1=1 {C04FED01-CE29-4DB4-83B0-E4FBC25576DE}
EmergAmps=OpLimI_2.3_3.1=1 {86054F8C-3C86-41C4-98B8-FBACE83A8BD7}
NormAmps=OpLimI_730.0_730.0=1 {76FD6B2B-4441-4BBC-9B09-6F39680E39F7}
EmergAmps=OpLimI_730.0_730.0=1 {D311D45C-77D5-41C8-871D-8522326936FE}
NormAmps=OpLimI_340.0_600.0=1 {9AF1B80B-6B2E-404D-BBDC-AC572F96F2D9}
EmergAmps=OpLimI_340.0_600.0=1 {7C6ECD2B-1E17-4026-A596-16292B8702A5}
NormAmps=OpLimI_230.0_600.0=1 {47B76C8E-5F6B-4E72-93FC-D0B70A77E043}
EmergAmps=OpLimI_230.0_600.0=1 {7349E079-6777-4F5F-B2B5-EC3DBC36047F}
NormAmps=OpLimI_260.0_600.0=1 {78A64E34-4A42-4B68-AFF7-175124642E45}
EmergAmps=OpLimI_260.0_600.0=1 {551ECC4F-3B56-48A9-BD2E-1E4260BE808D}
NormAmps=OpLimI_165.0_600.0=1 {3788E704-77CF-45A0-B4E4-9B83549ACBB7}
EmergAmps=OpLimI_165.0_600.0=1 {AE728398-96FE-4977-8FA9-63038D126C7D}
NormAmps=OpLimI_400.0_600.0=1 {2FD39392-2ABC-4397-8D68-168BFACBAA5B}
EmergAmps=OpLimI_400.0_600.0=1 {294A11FF-BF2B-4BCC-9BCB-E202B89F241A}
